1,250,60,500,40
1,250,60,750,53
1,250,60,1000,70
1,250,70,500,120
1,250,70,750,133
1,250,70,1000,140
1,250,80,500,120
1,250,80,750,147
1,250,80,1000,160
1,500,60,500,180
1,500,60,750,160
1,500,60,1000,190
1,500,70,500,200
1,500,70,750,227
1,500,70,1000,250
1,500,80,500,260
1,500,80,750,280
1,500,80,1000,300
1,1000,60,500,280
1,1000,60,750,293
1,1000,60,1000,320
1,1000,70,500,300
1,1000,70,750,320
1,1000,70,1000,350
1,1000,80,500,380
1,1000,80,750,413
1,1000,80,1000,480
2,250,60,500,140
2,250,60,750,187
2,250,60,1000,220
2,250,70,500,220
2,250,70,750,240
2,250,70,1000,250
2,250,80,500,260
2,250,80,750,280
2,250,80,1000,300
2,500,60,500,300
2,500,60,750,347
2,500,60,1000,360
2,500,70,500,360
2,500,70,750,373
2,500,70,1000,390
2,500,80,500,380
2,500,80,750,400
2,500,80,1000,430
2,1000,60,500,400
2,1000,60,750,427
2,1000,60,1000,450
2,1000,70,500,440
2,1000,70,750,467
2,1000,70,1000,480
2,1000,80,500,440
2,1000,80,750,467
2,1000,80,1000,500
3,250,60,500,200
3,250,60,750,240
3,250,60,1000,270
3,250,70,500,240
3,250,70,750,280
3,250,70,1000,300
3,250,80,500,260
3,250,80,750,280
3,250,80,1000,310
3,500,60,500,320
3,500,60,750,360
3,500,60,1000,390
3,500,70,500,340
3,500,70,750,373
3,500,70,1000,400
3,500,80,500,400
3,500,80,750,413
3,500,80,1000,450
3,1000,60,500,420
3,1000,60,750,440
3,1000,60,1000,470
3,1000,70,500,520
3,1000,70,750,560
3,1000,70,1000,600
3,1000,80,500,620
3,1000,80,750,680
3,1000,80,1000,710
